ID,Price,Location,Room,Area,Floor,Store,Date_Time,Link
2569033,92 000,20 Yanvar m.,2,71,15,20,bugün 16:43,https://bina.az/items/2569033
2569019,100 000,Yeni Yasamal q.,2,60,5,11,bugün 16:39,https://bina.az/items/2569019
2569018,100 000,Gənclik m.,2,70,8,9,bugün 16:39,https://bina.az/items/2569018
2414641,118 000,Nərimanov r.,2,55,12,17,11 yanvar 2022,https://bina.az/items/2414641
2561562,43 600,Qaraçuxur q.,2,51.3,5,6,bugün 11:45,https://bina.az/items/2561562
2164308,93 000,Əhmədli m.,2,72,4,5,05 yanvar 2022,https://bina.az/items/2164308
2561984,145 000,Həzi Aslanov m.,2,97,16,19,13 yanvar 2022,https://bina.az/items/2561984
85,194 955,Sea Breeze ,2,58.8,,,bugün 12:32,https://bina.az/items/85
220,107 155,Yasamal r.,2,77.1,,,13 yanvar 2022,https://bina.az/items/220
212,80 353,Bakı,2,61.8,,,bugün 11:22,https://bina.az/items/212
221,273 700,Bakı,2,100,,,14 yanvar 2022,https://bina.az/items/221
1686738,150 000,Yasamal q.,2,57,20,20,bugün 16:38,https://bina.az/items/1686738
2569007,76 000,8 Noyabr m.,2,55,18,18,bugün 16:37,https://bina.az/items/2569007
2569002,88 000,Əhmədli m.,2,90,14,18,bugün 16:36,https://bina.az/items/2569002
2568999,129 000,Nəsimi r.,2,55,11,18,bugün 16:35,https://bina.az/items/2568999
2568990,232 750,Xətai r.,2,95,3,7,bugün 16:34,https://bina.az/items/2568990
2568976,112 000,Sahil m.,2,45,4,4,bugün 16:30,https://bina.az/items/2568976
2568964,87 000,Yeni Yasamal q.,2,78,19,19,bugün 16:28,https://bina.az/items/2568964
2496145,140 000,Gənclik m.,2,60,3,5,bugün 16:29,https://bina.az/items/2496145
2568961,154 000,Neftçilər m.,2,100,15,18,bugün 16:26,https://bina.az/items/2568961
2568958,65 000,Yeni Yasamal q.,2,35,4,9,bugün 16:26,https://bina.az/items/2568958
2568957,74 000,Nəsimi m.,2,47,4,5,bugün 16:25,https://bina.az/items/2568957
2568954,42 000,Masazır q.,2,38,5,6,bugün 16:24,https://bina.az/items/2568954
2568950,50 000,Əhmədli q.,2,35,3,9,bugün 16:23,https://bina.az/items/2568950
2568946,147 000,Azadlıq Prospekti m.,2,74.2,9,17,bugün 16:21,https://bina.az/items/2568946
2555291,165 000,Nəsimi r.,2,88,13,16,bugün 16:21,https://bina.az/items/2555291
2568932,169 000,Nərimanov r.,2,108,8,16,bugün 16:16,https://bina.az/items/2568932
2568917,149 000,Şah İsmayıl Xətai m.,2,110.6,9,16,bugün 16:12,https://bina.az/items/2568917
2568911,139 000,Nəsimi r.,2,65,12,21,bugün 16:11,https://bina.az/items/2568911
2568914,115 000,Memar Əcəmi m.,2,92,8,16,bugün 16:11,https://bina.az/items/2568914
2568913,84 000,Memar Əcəmi m.,2,60,4,5,bugün 16:10,https://bina.az/items/2568913
2557784,119 000,Nərimanov r.,2,58,6,17,bugün 16:10,https://bina.az/items/2557784
2568907,157 000,Yasamal r.,2,76,13,19,bugün 16:09,https://bina.az/items/2568907
2568904,98 000,Xətai r.,2,72,6,16,bugün 16:08,https://bina.az/items/2568904
2568903,67 000,Köhnə Günəşli q.,2,60,9,9,bugün 16:08,https://bina.az/items/2568903
2420658,133 600,Nərimanov r.,2,83.5,12,17,bugün 14:27,https://bina.az/items/2420658
2544748,220 000,Xətai r.,2,95,5,7,07 yanvar 2022,https://bina.az/items/2544748
2552475,155 000,Nəsimi r.,2,90,16,17,bugün 18:17,https://bina.az/items/2552475
2559039,111 000,Elmlər Akademiyası m.,2,50,2,5,dünən 12:15,https://bina.az/items/2559039
220,100 318,Yasamal r.,2,74.3,,,13 yanvar 2022,https://bina.az/items/220
220,101 493,Yasamal r.,2,75.2,,,13 yanvar 2022,https://bina.az/items/220
206,127 300,Bakı,2,67,,,bugün 10:57,https://bina.az/items/206
221,273 700,Bakı,2,100,,,14 yanvar 2022,https://bina.az/items/221
2568899,70 000,Yeni Yasamal q.,2,40,5,9,bugün 16:07,https://bina.az/items/2568899
2568889,137 000,İnşaatçılar m.,2,115,11,16,bugün 16:03,https://bina.az/items/2568889
2568888,70 000,Nəsimi m.,2,60,3,5,bugün 16:03,https://bina.az/items/2568888
2568884,210 000,Nəsimi r.,2,88,7,17,bugün 16:01,https://bina.az/items/2568884
2568883,148 000,Şah İsmayıl Xətai m.,2,110.6,9,16,bugün 16:01,https://bina.az/items/2568883
2568877,185 000,Nərimanov r.,2,105,11,16,bugün 16:00,https://bina.az/items/2568877
2568860,300 000,Şah İsmayıl Xətai m.,2,78,13,18,bugün 15:55,https://bina.az/items/2568860
